time,pPV
1640995200,10.36
1640996100,10.2
1640997000,10.28
1640997900,10.4
1640998800,10.32
1640999700,10.36
1641000600,10.08
1641001500,9.92
1641002400,9.64
1641003300,9.96
1641004200,9.6
1641005100,9.68
1641006000,9.8
1641006900,9.72
1641007800,9.96
1641008700,9.68
1641009600,10.92
1641010500,10.92
1641011400,10.96
1641012300,10.8
1641013200,10.96
1641014100,10.8
1641015000,10.8
1641015900,10.76
1641016800,15.84
1641017700,17.6
1641018600,17.28
1641019500,17.72
1641020400,17.28
1641021300,17.56
1641022200,17.52
1641023100,17.2
1641024000,17.12
1641024900,16.96
1641025800,17.04
1641026700,16.84
1641027600,17.0
1641028500,16.88
1641029400,17.2
1641030300,17.12
1641031200,17.6
1641032100,16.8
1641033000,16.96
1641033900,16.72
1641034800,16.84
1641035700,16.84
1641036600,16.68
1641037500,17.0
1641038400,16.6
1641039300,16.96
1641040200,16.8
1641041100,16.96
1641042000,16.84
1641042900,16.76
1641043800,16.68
1641044700,16.8
1641045600,16.88
1641046500,16.64
1641047400,16.88
1641048300,16.64
1641049200,16.88
1641050100,16.72
1641051000,16.92
1641051900,17.6
1641052800,16.8
1641053700,16.72
1641054600,16.84
1641055500,16.96
1641056400,17.68
1641057300,18.08
1641058200,17.76
1641059100,18.0
1641060000,17.76
1641060900,18.04
1641061800,17.88
1641062700,18.04
1641063600,17.76
1641064500,17.84
1641065400,17.88
1641066300,17.8
1641067200,17.6
1641068100,16.6
1641069000,16.56
1641069900,16.08
1641070800,16.36
1641071700,16.28
1641072600,16.32
1641073500,16.08
1641074400,9.72
1641075300,9.72
1641076200,9.8
1641077100,9.8
1641078000,9.56
1641078900,10.2
1641079800,9.56
1641080700,9.52
1641081600,9.12
1641082500,9.44
1641083400,9.12
1641084300,9.28
1641085200,9.28
1641086100,9.24
1641087000,9.24
1641087900,9.04
1641088800,9.32
1641089700,9.16
1641090600,9.36
1641091500,9.08
1641092400,9.4
1641093300,9.04
1641094200,9.36
1641095100,9.16
1641096000,10.16
1641096900,10.32
1641097800,10.0
